LAST SEEN   TYPE      REASON                            OBJECT                                                    MESSAGE
111s        Normal    Pulled                            pod/sa-platform-postgresql-0                              Container image "docker.io/bitnamilegacy/postgresql:16.4.0-debian-12-r14" already present on machine
111s        Normal    Scheduled                         pod/sa-platform-postgresql-0                              Successfully assigned sa-p7/sa-platform-postgresql-0 to p7-202100265-control-plane
111s        Normal    Created                           pod/sa-platform-postgresql-0                              Created container postgresql
111s        Normal    Started                           pod/sa-platform-postgresql-0                              Started container postgresql
111s        Normal    Started                           pod/sa-platform-rabbitmq-0                                Started container prepare-plugins-dir
111s        Normal    Created                           pod/sa-platform-rabbitmq-0                                Created container prepare-plugins-dir
111s        Normal    Pulled                            pod/sa-platform-rabbitmq-0                                Container image "docker.io/bitnamilegacy/rabbitmq:4.1.3-debian-12-r1" already present on machine
111s        Normal    Scheduled                         pod/sa-platform-rabbitmq-0                                Successfully assigned sa-p7/sa-platform-rabbitmq-0 to p7-202100265-control-plane
110s        Normal    Started                           pod/sa-platform-rabbitmq-0                                Started container rabbitmq
110s        Normal    Created                           pod/sa-platform-rabbitmq-0                                Created container rabbitmq
110s        Normal    Pulled                            pod/sa-platform-rabbitmq-0                                Container image "docker.io/bitnamilegacy/rabbitmq:4.1.3-debian-12-r1" already present on machine
105s        Warning   BackOff                           pod/sa-platform-notifications-service-76466f6f6b-ld7wz    Back-off restarting failed container notifications-service in pod sa-platform-notifications-service-76466f6f6b-ld7wz_sa-p7(9fd390d6-b0ed-490d-92e4-a9e95418e985)
100s        Normal    Created                           pod/sa-platform-notifications-service-76466f6f6b-ld7wz    Created container notifications-service
100s        Warning   BackOff                           pod/sa-platform-loans-service-67d5d9c8f5-n7wcj            Back-off restarting failed container loans-service in pod sa-platform-loans-service-67d5d9c8f5-n7wcj_sa-p7(19d467cf-61d7-4ed2-9245-2480990912d4)
100s        Warning   BackOff                           pod/sa-platform-auth-service-5cf475865b-nktr5             Back-off restarting failed container auth-service in pod sa-platform-auth-service-5cf475865b-nktr5_sa-p7(527c435c-47c4-4b22-ba9f-c26bb9dbbdb6)
100s        Warning   BackOff                           pod/sa-platform-books-service-74cb6f59d4-jbfg8            Back-off restarting failed container books-service in pod sa-platform-books-service-74cb6f59d4-jbfg8_sa-p7(7bde3713-0f5e-449f-a494-9e3f916f5109)
100s        Normal    Started                           pod/sa-platform-notifications-service-76466f6f6b-ld7wz    Started container notifications-service
100s        Normal    Pulled                            pod/sa-platform-notifications-service-76466f6f6b-ld7wz    Container image "p7-notifications-service:local" already present on machine
88s         Normal    Pulled                            pod/sa-platform-books-service-74cb6f59d4-jbfg8            Container image "p7-books-service:local" already present on machine
88s         Normal    Created                           pod/sa-platform-books-service-74cb6f59d4-jbfg8            Created container books-service
88s         Normal    Started                           pod/sa-platform-books-service-74cb6f59d4-jbfg8            Started container books-service
87s         Normal    Started                           pod/sa-platform-auth-service-5cf475865b-nktr5             Started container auth-service
87s         Normal    Created                           pod/sa-platform-auth-service-5cf475865b-nktr5             Created container auth-service
87s         Normal    Pulled                            pod/sa-platform-auth-service-5cf475865b-nktr5             Container image "p7-auth-service:local" already present on machine
85s         Normal    Pulled                            pod/sa-platform-loans-service-67d5d9c8f5-n7wcj            Container image "p7-loans-service:local" already present on machine
85s         Warning   Unhealthy                         pod/sa-platform-notifications-service-76466f6f6b-ld7wz    Startup probe failed: Get "http://10.244.0.18:8003/health/live": dial tcp 10.244.0.18:8003: connect: connection refused
85s         Normal    Created                           pod/sa-platform-loans-service-67d5d9c8f5-n7wcj            Created container loans-service
85s         Warning   Unhealthy                         pod/sa-platform-api-gateway-5dfdd8fb9-wvsx5               Readiness probe failed: HTTP probe failed with statuscode: 503
85s         Normal    Started                           pod/sa-platform-loans-service-67d5d9c8f5-n7wcj            Started container loans-service
47s         Normal    Pulled                            pod/sa-platform-cronjob-insert-29818396-5jsnj             Container image "p7-cronjob-insert:local" already present on machine
47s         Normal    Created                           pod/sa-platform-cronjob-insert-29818396-5jsnj             Created container cronjob-insert
47s         Normal    Scheduled                         pod/sa-platform-cronjob-insert-29818396-5jsnj             Successfully assigned sa-p7/sa-platform-cronjob-insert-29818396-5jsnj to p7-202100265-control-plane
47s         Normal    Started                           pod/sa-platform-cronjob-insert-29818396-5jsnj             Started container cronjob-insert
47s         Normal    SuccessfulCreate                  job/sa-platform-cronjob-insert-29818396                   Created pod: sa-platform-cronjob-insert-29818396-5jsnj
47s         Normal    SuccessfulCreate                  cronjob/sa-platform-cronjob-insert                        Created job sa-platform-cronjob-insert-29818396
42s         Normal    SawCompletedJob                   cronjob/sa-platform-cronjob-insert                        Saw completed job: sa-platform-cronjob-insert-29818396, condition: Complete
42s         Normal    Completed                         job/sa-platform-cronjob-insert-29818396                   Job completed
